[2026-05-19 02:00:43] Initialized ContinuousLogger for representation_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-19 02:00:43] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-19 02:00:43] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-19 02:00:43] [CANDIDATE] task=representation phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-19 02:03:32] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=66 architecture=[1] train_loss=1.016606 val_loss=1.015694 best=1.015694 es=0/5
[2026-05-19 02:03:34] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=67 architecture=[1] train_loss=1.014681 val_loss=1.013993 best=1.013993 es=0/5
[2026-05-19 02:03:36] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=68 architecture=[1] train_loss=1.012843 val_loss=1.012300 best=1.012300 es=0/5
[2026-05-19 02:03:38] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=69 architecture=[1] train_loss=1.011083 val_loss=1.010473 best=1.010473 es=0/5
[2026-05-19 02:03:41] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=70 architecture=[1] train_loss=1.009355 val_loss=1.008853 best=1.008853 es=0/5
[2026-05-19 02:03:43] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=71 architecture=[1] train_loss=1.007714 val_loss=1.007383 best=1.007383 es=0/5
[2026-05-19 02:03:46] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=72 architecture=[1] train_loss=1.006140 val_loss=1.005907 best=1.005907 es=0/5
[2026-05-19 02:03:48] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=73 architecture=[1] train_loss=1.004609 val_loss=1.004262 best=1.004262 es=0/5
[2026-05-19 02:03:50] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=74 architecture=[1] train_loss=1.003134 val_loss=1.002794 best=1.002794 es=0/5
[2026-05-19 02:03:53] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=75 architecture=[1] train_loss=1.001724 val_loss=1.001300 best=1.001300 es=0/5
[2026-05-19 02:03:55] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=76 architecture=[1] train_loss=1.000301 val_loss=0.999939 best=0.999939 es=0/5
[2026-05-19 02:03:57] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=77 architecture=[1] train_loss=0.998985 val_loss=0.998574 best=0.998574 es=0/5
[2026-05-19 02:03:59] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=78 architecture=[1] train_loss=0.997724 val_loss=0.997389 best=0.997389 es=0/5
[2026-05-19 02:04:02] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=79 architecture=[1] train_loss=0.996478 val_loss=0.996159 best=0.996159 es=0/5
[2026-05-19 02:04:05] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=80 architecture=[1] train_loss=0.995274 val_loss=0.994875 best=0.994875 es=0/5
[2026-05-19 02:04:07] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=81 architecture=[1] train_loss=0.994094 val_loss=0.993803 best=0.993803 es=0/5
[2026-05-19 02:04:09] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=82 architecture=[1] train_loss=0.992976 val_loss=0.992751 best=0.992751 es=0/5
[2026-05-19 02:04:12] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=83 architecture=[1] train_loss=0.991897 val_loss=0.991823 best=0.991823 es=0/5
[2026-05-19 02:04:14] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=84 architecture=[1] train_loss=0.990852 val_loss=0.990838 best=0.990838 es=0/5
[2026-05-19 02:04:17] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=85 architecture=[1] train_loss=0.989860 val_loss=0.989699 best=0.989699 es=0/5
[2026-05-19 02:04:19] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=86 architecture=[1] train_loss=0.988833 val_loss=0.988674 best=0.988674 es=0/5
[2026-05-19 02:04:22] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=87 architecture=[1] train_loss=0.987852 val_loss=0.987939 best=0.987939 es=0/5
[2026-05-19 02:04:24] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=88 architecture=[1] train_loss=0.986911 val_loss=0.986826 best=0.986826 es=0/5
[2026-05-19 02:04:27] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=89 architecture=[1] train_loss=0.986011 val_loss=0.985962 best=0.985962 es=0/5
[2026-05-19 02:04:30] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=90 architecture=[1] train_loss=0.985139 val_loss=0.985325 best=0.985325 es=0/5
[2026-05-19 02:04:32] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=91 architecture=[1] train_loss=0.984296 val_loss=0.984334 best=0.984334 es=0/5
[2026-05-19 02:04:35] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=92 architecture=[1] train_loss=0.983477 val_loss=0.983373 best=0.983373 es=0/5
[2026-05-19 02:04:37] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=93 architecture=[1] train_loss=0.982646 val_loss=0.982818 best=0.982818 es=0/5
[2026-05-19 02:04:39] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=94 architecture=[1] train_loss=0.981870 val_loss=0.982139 best=0.982139 es=0/5
[2026-05-19 02:04:42] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=95 architecture=[1] train_loss=0.981118 val_loss=0.981226 best=0.981226 es=0/5
[2026-05-19 02:04:44] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=96 architecture=[1] train_loss=0.980379 val_loss=0.980549 best=0.980549 es=0/5
[2026-05-19 02:04:47] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=97 architecture=[1] train_loss=0.979661 val_loss=0.979993 best=0.979993 es=0/5
[2026-05-19 02:04:49] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=98 architecture=[1] train_loss=0.978984 val_loss=0.979234 best=0.979234 es=0/5
[2026-05-19 02:04:51] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=99 architecture=[1] train_loss=0.978333 val_loss=0.978526 best=0.978526 es=0/5
[2026-05-19 02:04:54] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=100 architecture=[1] train_loss=0.977662 val_loss=0.977858 best=0.977858 es=0/5
[2026-05-19 02:04:56] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=101 architecture=[1] train_loss=0.977054 val_loss=0.977272 best=0.977272 es=0/5
[2026-05-19 02:04:59] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=102 architecture=[1] train_loss=0.976418 val_loss=0.976703 best=0.976703 es=0/5
[2026-05-19 02:05:01] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=103 architecture=[1] train_loss=0.975828 val_loss=0.976103 best=0.976103 es=0/5
[2026-05-19 02:05:03] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=104 architecture=[1] train_loss=0.975264 val_loss=0.975448 best=0.975448 es=0/5
[2026-05-19 02:05:06] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=105 architecture=[1] train_loss=0.974707 val_loss=0.975045 best=0.975045 es=0/5
[2026-05-19 02:05:08] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=106 architecture=[1] train_loss=0.974123 val_loss=0.974541 best=0.974541 es=0/5
[2026-05-19 02:05:11] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=107 architecture=[1] train_loss=0.973614 val_loss=0.973896 best=0.973896 es=0/5
[2026-05-19 02:05:13] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=108 architecture=[1] train_loss=0.973084 val_loss=0.973496 best=0.973496 es=0/5
[2026-05-19 02:05:15] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=109 architecture=[1] train_loss=0.972532 val_loss=0.972944 best=0.972944 es=0/5
[2026-05-19 02:05:18] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=110 architecture=[1] train_loss=0.972050 val_loss=0.972524 best=0.972524 es=0/5
[2026-05-19 02:05:21] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=111 architecture=[1] train_loss=0.971594 val_loss=0.971822 best=0.971822 es=0/5
[2026-05-19 02:05:23] [representation][ae_depth_to_width][cand_000_d1_w1] epoch=112 architecture=[1] train_loss=0.971157 val_loss=0.971500 best=0.971500 es=0/5
