[2026-06-13 20:36:39] Initialized ContinuousLogger for MLPS.tabular.shared.dae_dnn.adp_search (Mode: width_to_depth)
[2026-06-13 20:36:39] Logs: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_log.txt
[2026-06-13 20:36:39] CSV: MLPS/tabular/shared/dae_dnn/results/adp/w2d/denoising_plus_sim5_v1/repeat_05/simulation/cand_162_d3_w81/training_stats.csv
[2026-06-13 20:37:06] Epoch 1 | architecture=[81, 81, 1] train_loss=0.265543 val_loss=0.283775 best=0.283775 es=0/10
[2026-06-13 20:37:06] Epoch 1 | architecture=[81, 81, 1] train_loss=0.266922 val_loss=0.293053 best=0.293053 es=0/10
[2026-06-13 20:37:06] Epoch 1 | architecture=[81, 81, 1] train_loss=0.264930 val_loss=0.288611 best=0.288611 es=0/10
[2026-06-13 20:37:07] Epoch 1 | architecture=[81, 81, 1] train_loss=0.261554 val_loss=0.278895 best=0.278895 es=0/10
[2026-06-13 20:37:07] Epoch 1 | architecture=[81, 81, 1] train_loss=0.262391 val_loss=0.272888 best=0.272888 es=0/10
[2026-06-13 20:37:07] Epoch 1 | architecture=[81, 81, 1] train_loss=0.256725 val_loss=0.274027 best=0.274027 es=0/10
[2026-06-13 20:37:07] Epoch 1 | architecture=[81, 81, 1] train_loss=0.255098 val_loss=0.274153 best=0.274153 es=0/10
[2026-06-13 20:37:07] Epoch 1 | architecture=[81, 81, 1] train_loss=0.253280 val_loss=0.277271 best=0.277271 es=0/10
[2026-06-13 20:37:08] Epoch 1 | architecture=[81, 81, 1] train_loss=0.248640 val_loss=0.274678 best=0.274678 es=0/10
[2026-06-13 20:37:08] Epoch 1 | architecture=[81, 81, 1] train_loss=0.248063 val_loss=0.268656 best=0.268656 es=0/10
[2026-06-13 20:37:08] Epoch 1 | architecture=[81, 81, 1] train_loss=0.248786 val_loss=0.277166 best=0.277166 es=0/10
[2026-06-13 20:37:08] Epoch 1 | architecture=[81, 81, 1] train_loss=0.251947 val_loss=0.270010 best=0.270010 es=0/10
[2026-06-13 20:37:08] Epoch 1 | architecture=[81, 81, 1] train_loss=0.250730 val_loss=0.256893 best=0.256893 es=0/10
[2026-06-13 20:37:09] Epoch 1 | architecture=[81, 81, 1] train_loss=0.239966 val_loss=0.276924 best=0.276924 es=0/10
[2026-06-13 20:37:09] Epoch 1 | architecture=[81, 81, 1] train_loss=0.245400 val_loss=0.268930 best=0.268930 es=0/10
[2026-06-13 20:37:09] Epoch 1 | architecture=[81, 81, 1] train_loss=0.239243 val_loss=0.270076 best=0.270076 es=0/10
[2026-06-13 20:37:09] Epoch 1 | architecture=[81, 81, 1] train_loss=0.247705 val_loss=0.261385 best=0.261385 es=0/10
[2026-06-13 20:37:09] Epoch 1 | architecture=[81, 81, 1] train_loss=0.239962 val_loss=0.271909 best=0.271909 es=0/10
[2026-06-13 20:37:09] Epoch 1 | architecture=[81, 81, 1] train_loss=0.237660 val_loss=0.254685 best=0.254685 es=0/10
[2026-06-13 20:37:10] Epoch 1 | architecture=[81, 81, 1] train_loss=0.233030 val_loss=0.251717 best=0.251717 es=0/10
[2026-06-13 20:37:10] Epoch 1 | architecture=[81, 81, 1] train_loss=0.232855 val_loss=0.252508 best=0.252508 es=0/10
[2026-06-13 20:37:10] Epoch 1 | architecture=[81, 81, 1] train_loss=0.231509 val_loss=0.258332 best=0.258332 es=0/10
[2026-06-13 20:37:10] Epoch 1 | architecture=[81, 81, 1] train_loss=0.229103 val_loss=0.244608 best=0.244608 es=0/10
[2026-06-13 20:37:10] Epoch 1 | architecture=[81, 81, 1] train_loss=0.229849 val_loss=0.254293 best=0.254293 es=0/10
[2026-06-13 20:37:11] Epoch 1 | architecture=[81, 81, 1] train_loss=0.230786 val_loss=0.256157 best=0.256157 es=0/10
[2026-06-13 20:37:11] Epoch 1 | architecture=[81, 81, 1] train_loss=0.233621 val_loss=0.254846 best=0.254846 es=0/10
