[2026-05-16 23:01:18] Initialized ContinuousLogger for representation_bayes (Mode: bayes)
[2026-05-16 23:05:26] [representation][bayes][cand_000_d2_w4] epoch=78 train_loss=0.843574 val_loss=0.853055 best=0.853055 es=0/5
[2026-05-16 23:05:29] [representation][bayes][cand_000_d2_w4] epoch=79 train_loss=0.843137 val_loss=0.852647 best=0.852647 es=0/5
[2026-05-16 23:05:33] [representation][bayes][cand_000_d2_w4] epoch=80 train_loss=0.842699 val_loss=0.852179 best=0.852179 es=0/5
[2026-05-16 23:05:36] [representation][bayes][cand_000_d2_w4] epoch=81 train_loss=0.842220 val_loss=0.851721 best=0.851721 es=0/5
[2026-05-16 23:05:40] [representation][bayes][cand_000_d2_w4] epoch=82 train_loss=0.841769 val_loss=0.851287 best=0.851287 es=0/5
[2026-05-16 23:05:43] [representation][bayes][cand_000_d2_w4] epoch=83 train_loss=0.841331 val_loss=0.850759 best=0.850759 es=0/5
[2026-05-16 23:05:47] [representation][bayes][cand_000_d2_w4] epoch=84 train_loss=0.840817 val_loss=0.850350 best=0.850350 es=0/5
[2026-05-16 23:05:51] [representation][bayes][cand_000_d2_w4] epoch=85 train_loss=0.840422 val_loss=0.849887 best=0.849887 es=0/5
[2026-05-16 23:05:54] [representation][bayes][cand_000_d2_w4] epoch=86 train_loss=0.839934 val_loss=0.849214 best=0.849214 es=0/5
[2026-05-16 23:05:58] [representation][bayes][cand_000_d2_w4] epoch=87 train_loss=0.839296 val_loss=0.848627 best=0.848627 es=0/5
[2026-05-16 23:06:02] [representation][bayes][cand_000_d2_w4] epoch=88 train_loss=0.838619 val_loss=0.847923 best=0.847923 es=0/5
[2026-05-16 23:06:06] [representation][bayes][cand_000_d2_w4] epoch=89 train_loss=0.837576 val_loss=0.846751 best=0.846751 es=0/5
[2026-05-16 23:06:10] [representation][bayes][cand_000_d2_w4] epoch=90 train_loss=0.836853 val_loss=0.846198 best=0.846198 es=0/5
[2026-05-16 23:06:13] [representation][bayes][cand_000_d2_w4] epoch=91 train_loss=0.836363 val_loss=0.845690 best=0.845690 es=0/5
[2026-05-16 23:06:17] [representation][bayes][cand_000_d2_w4] epoch=92 train_loss=0.835836 val_loss=0.845102 best=0.845102 es=0/5
[2026-05-16 23:06:21] [representation][bayes][cand_000_d2_w4] epoch=93 train_loss=0.835380 val_loss=0.844695 best=0.844695 es=0/5
[2026-05-16 23:06:25] [representation][bayes][cand_000_d2_w4] epoch=94 train_loss=0.834915 val_loss=0.844036 best=0.844036 es=0/5
