[2026-05-16 16:26:42] Initialized ContinuousLogger for representation_stl_from_ae_width_to_depth (Mode: stl_from_ae_width_to_depth)
[2026-05-16 16:37:35] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=70 train_loss=0.226990 val_loss=0.231723 best=0.231723 es=0/5
[2026-05-16 16:37:39] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=71 train_loss=0.222642 val_loss=0.234595 best=0.231723 es=1/5
[2026-05-16 16:37:42] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=72 train_loss=0.223684 val_loss=0.227777 best=0.227777 es=0/5
[2026-05-16 16:37:46] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=73 train_loss=0.217396 val_loss=0.251016 best=0.227777 es=1/5
[2026-05-16 16:37:49] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=74 train_loss=0.228761 val_loss=0.237072 best=0.227777 es=2/5
[2026-05-16 16:38:20] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=75 train_loss=0.222362 val_loss=0.239407 best=0.227777 es=3/5
[2026-05-16 16:38:24] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=76 train_loss=0.219966 val_loss=0.233705 best=0.227777 es=4/5
[2026-05-16 16:38:27] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=77 train_loss=0.216436 val_loss=0.227346 best=0.227346 es=0/5
[2026-05-16 16:38:31] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=78 train_loss=0.215289 val_loss=0.236076 best=0.227346 es=1/5
[2026-05-16 16:38:34] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=79 train_loss=0.217680 val_loss=0.235514 best=0.227346 es=2/5
[2026-05-16 16:39:05] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=80 train_loss=0.217819 val_loss=0.228595 best=0.227346 es=3/5
[2026-05-16 16:39:09] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=81 train_loss=0.214281 val_loss=0.242192 best=0.227346 es=4/5
[2026-05-16 16:39:12] [representation][stl_from_ae_width_to_depth][cand_000_d2_w466] epoch=82 train_loss=0.219458 val_loss=0.235891 best=0.227346 es=5/5
