task,depth,width,params_mantissa,params_power10
simulation,3,10004,2.0,8
simulation,3,9449,1.8,8
simulation,3,8893,1.6,8
simulation,3,8337,1.4,8
simulation,3,7781,1.2,8
simulation,3,7226,1.0,8
simulation,3,6670,8.9,7
simulation,3,6114,7.5,7
simulation,3,5558,6.2,7
simulation,3,5003,5.0,7
simulation,3,4447,4.0,7
simulation,3,3891,3.0,7
simulation,3,3335,2.2,7
simulation,3,2780,1.6,7
simulation,3,2224,9.9,6
simulation,3,1668,5.6,6
simulation,3,1112,2.5,6
simulation,3,557,6.3,5
simulation,3,1,2.1,1
simulation,4,8576,2.2,8
simulation,4,8125,2.0,8
simulation,4,7673,1.8,8
simulation,4,7222,1.6,8
simulation,4,6771,1.4,8
simulation,4,6319,1.2,8
simulation,4,5868,1.0,8
simulation,4,5417,8.8,7
simulation,4,4965,7.4,7
simulation,4,4514,6.1,7
simulation,4,4063,5.0,7
simulation,4,3612,3.9,7
simulation,4,3160,3.0,7
simulation,4,2709,2.2,7
simulation,4,2258,1.5,7
simulation,4,1806,9.8,6
simulation,4,1355,5.5,6
simulation,4,904,2.5,6
simulation,4,452,6.2,5
simulation,4,1,2.5,1
simulation,5,7296,2.1,8
simulation,5,6912,1.9,8
simulation,5,6528,1.7,8
simulation,5,6144,1.5,8
simulation,5,5760,1.3,8
simulation,5,5376,1.2,8
simulation,5,4992,10.0,7
simulation,5,4608,8.5,7
simulation,5,4224,7.1,7
simulation,5,3840,5.9,7
simulation,5,3457,4.8,7
simulation,5,3073,3.8,7
simulation,5,2689,2.9,7
simulation,5,2305,2.1,7
simulation,5,1921,1.5,7
simulation,5,1537,9.5,6
simulation,5,1153,5.3,6
simulation,5,769,2.4,6
simulation,5,385,6.0,5
simulation,5,1,2.9,1
simulation,6,6400,2.0,8
simulation,6,6063,1.8,8
simulation,6,5726,1.6,8
simulation,6,5390,1.5,8
simulation,6,5053,1.3,8
simulation,6,4716,1.1,8
simulation,6,4379,9.6,7
simulation,6,4042,8.2,7
simulation,6,3706,6.9,7
simulation,6,3369,5.7,7
simulation,6,3032,4.6,7
simulation,6,2695,3.6,7
