[2025-12-16 09:45:38] Initialized ContinuousLogger for ae_stl (Mode: width_to_depth)
[2025-12-16 09:45:38] Logs: results_adp_ae_stl_cifar10_w1d1_w2d\training_log.txt
[2025-12-16 09:45:38] CSV: results_adp_ae_stl_cifar10_w1d1_w2d\training_stats.csv
[2025-12-16 09:45:38] 
================================================================================
[2025-12-16 09:45:38] ADP SEARCH STARTED: mode=width_to_depth, delta=0.001
[2025-12-16 09:45:38] Initial: width=1, depth=1, neurons=2
[2025-12-16 09:45:38] ================================================================================

[2025-12-16 09:45:38] [INITIAL TRAINING] width=1, depth=1
[2025-12-16 10:01:13]   Epoch   7/10000000000000000000 | Device: cuda | Train Loss: 0.005677 | Val Loss: 0.005552 | Best: 0.005459 | ES: 4/10
[2025-12-16 10:01:21]   Epoch   8/10000000000000000000 | Device: cuda | Train Loss: 0.005680 | Val Loss: 0.005465 | Best: 0.005459 | ES: 5/10
[2025-12-16 10:01:29]   Epoch   9/10000000000000000000 | Device: cuda | Train Loss: 0.005680 | Val Loss: 0.005554 | Best: 0.005459 | ES: 6/10
[2025-12-16 10:01:37]   Epoch  10/10000000000000000000 | Device: cuda | Train Loss: 0.005688 | Val Loss: 0.005468 | Best: 0.005459 | ES: 7/10
[2025-12-16 10:01:45]   Epoch  11/10000000000000000000 | Device: cuda | Train Loss: 0.005688 | Val Loss: 0.005462 | Best: 0.005459 | ES: 8/10
[2025-12-16 10:01:53]   Epoch  12/10000000000000000000 | Device: cuda | Train Loss: 0.005675 | Val Loss: 0.005462 | Best: 0.005459 | ES: 9/10
[2025-12-16 10:02:01]   Epoch  13/10000000000000000000 | Device: cuda | Train Loss: 0.005687 | Val Loss: 0.005498 | Best: 0.005459 | ES: 10/10
[2025-12-16 10:02:01]   Early stopping triggered at epoch 13
[2025-12-16 10:02:01] [DEPTH OPT] Base result: 0.005459

[2025-12-16 10:02:01] 
[DEPTH EXPANSION #1] depth: 1 → 2, neurons: 3
