task,family,phase,architecture,best_val,parameter_count,checkpoint_best,label
denoising,STL_ablation,stl_ablation_d08_w256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256]",0.010857255169545213,492598,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d08_w256_256_256_256_256_256_256_256_256/cand_000_d8_w256/checkpoint_best.pt,"STL_ablation | stl_ablation_d08_w256_256_256_256_256_256_256_256_256
[256, 256, 256, 256, 256, 256, 256, 256]"
denoising,STL_ablation,stl_ablation_d10_w064_64_64_64_64_64_64_64_64_64_64,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",0.036985869385935934,45750,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d10_w064_64_64_64_64_64_64_64_64_64_64/cand_000_d10_w64/checkpoint_best.pt,"STL_ablation | stl_ablation_d10_w064_64_64_64_64_64_64_64_64_64_64
[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
denoising,STL_ablation,stl_ablation_d10_w096_96_96_96_96_96_96_96_96_96_96,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",0.027294027703041738,96246,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d10_w096_96_96_96_96_96_96_96_96_96_96/cand_000_d10_w96/checkpoint_best.pt,"STL_ablation | stl_ablation_d10_w096_96_96_96_96_96_96_96_96_96_96
[96, 96, 96, 96, 96, 96, 96, 96, 96, 96]"
denoising,STL_ablation,stl_ablation_d10_w128_128_128_128_128_128_128_128_128_128_128,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.018493105844958387,165174,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d10_w128_128_128_128_128_128_128_128_128_128_128/cand_000_d10_w128/checkpoint_best.pt,"STL_ablation | stl_ablation_d10_w128_128_128_128_128_128_128_128_128_128_128
[128, 128, 128, 128, 128, 128, 128, 128, 128, 128]"
denoising,STL_ablation,stl_ablation_d10_w160_160_160_160_160_160_160_160_160_160_160,"[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]",0.02126525164884646,252534,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d10_w160_160_160_160_160_160_160_160_160_160_160/cand_000_d10_w160/checkpoint_best.pt,"STL_ablation | stl_ablation_d10_w160_160_160_160_160_160_160_160_160_160_160
[160, 160, 160, 160, 160, 160, 160, 160, 160, 160]"
denoising,STL_ablation,stl_ablation_d10_w192_192_192_192_192_192_192_192_192_192_192,"[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]",0.015563439971082543,358326,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d10_w192_192_192_192_192_192_192_192_192_192_192/cand_000_d10_w192/checkpoint_best.pt,"STL_ablation | stl_ablation_d10_w192_192_192_192_192_192_192_192_192_192_192
[192, 192, 192, 192, 192, 192, 192, 192, 192, 192]"
denoising,STL_ablation,stl_ablation_d10_w224_224_224_224_224_224_224_224_224_224_224,"[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]",0.018430291001589157,482550,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d10_w224_224_224_224_224_224_224_224_224_224_224/cand_000_d10_w224/checkpoint_best.pt,"STL_ablation | stl_ablation_d10_w224_224_224_224_224_224_224_224_224_224_224
[224, 224, 224, 224, 224, 224, 224, 224, 224, 224]"
denoising,STL_ablation,stl_ablation_d10_w256_256_256_256_256_256_256_256_256_256_256,"[256, 256, 256, 256, 256, 256, 256, 256, 256, 256]",0.011211411192892907,625206,MLPS/tabular/shared/dae_dnn/results/stl_ablation_all_tasks_d3plus_w64plus/denoising/stl_ablation_d10_w256_256_256_256_256_256_256_256_256_256_256/cand_000_d10_w256/checkpoint_best.pt,"STL_ablation | stl_ablation_d10_w256_256_256_256_256_256_256_256_256_256_256
[256, 256, 256, 256, 256, 256, 256, 256, 256, 256]"
denoising,STL_paired,stl_from_ae_alt_depth,"[101, 101, 101, 101, 101, 101]",0.008895457736336465,63785,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/stl_from_ae_alt_depth/cand_000_d6_w101/checkpoint_best.pt,"STL_paired | stl_from_ae_alt_depth
[101, 101, 101, 101, 101, 101]"
denoising,STL_paired,stl_from_ae_alt_width,[54],0.02836939498250111,6048,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/stl_from_ae_alt_width/cand_000_d1_w54/checkpoint_best.pt,"STL_paired | stl_from_ae_alt_width
[54]"
denoising,STL_paired,stl_from_ae_width_to_depth,[54],0.02918747294844156,6048,MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/denoising/stl_from_ae_width_to_depth/cand_000_d1_w54/checkpoint_best.pt,"STL_paired | stl_from_ae_width_to_depth
[54]"
