[2026-05-18 05:32:28] Initialized ContinuousLogger for representation_ae_alt_depth (Mode: ae_alt_depth)
[2026-05-18 05:32:28] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_000_d1_w1/training_log.txt
[2026-05-18 05:32:28] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/representation/ae_alt_depth/cand_000_d1_w1/training_stats.csv
[2026-05-18 05:32:28] [CANDIDATE] task=representation phase=ae_alt_depth index=0 search_phase=depth architecture=[1]
[2026-05-18 05:38:28] [representation][ae_alt_depth][cand_000_d1_w1] epoch=138 architecture=[1] train_loss=0.997554 val_loss=0.999930 best=0.999930 es=0/5
[2026-05-18 05:38:31] [representation][ae_alt_depth][cand_000_d1_w1] epoch=139 architecture=[1] train_loss=0.997255 val_loss=0.999699 best=0.999699 es=0/5
[2026-05-18 05:38:34] [representation][ae_alt_depth][cand_000_d1_w1] epoch=140 architecture=[1] train_loss=0.996970 val_loss=0.999396 best=0.999396 es=0/5
[2026-05-18 05:38:36] [representation][ae_alt_depth][cand_000_d1_w1] epoch=141 architecture=[1] train_loss=0.996690 val_loss=0.999057 best=0.999057 es=0/5
[2026-05-18 05:38:39] [representation][ae_alt_depth][cand_000_d1_w1] epoch=142 architecture=[1] train_loss=0.996372 val_loss=0.998780 best=0.998780 es=0/5
[2026-05-18 05:38:41] [representation][ae_alt_depth][cand_000_d1_w1] epoch=143 architecture=[1] train_loss=0.996078 val_loss=0.998521 best=0.998521 es=0/5
[2026-05-18 05:38:43] [representation][ae_alt_depth][cand_000_d1_w1] epoch=144 architecture=[1] train_loss=0.995845 val_loss=0.998208 best=0.998208 es=0/5
[2026-05-18 05:38:46] [representation][ae_alt_depth][cand_000_d1_w1] epoch=145 architecture=[1] train_loss=0.995542 val_loss=0.997981 best=0.997981 es=0/5
[2026-05-18 05:38:49] [representation][ae_alt_depth][cand_000_d1_w1] epoch=146 architecture=[1] train_loss=0.995324 val_loss=0.997723 best=0.997723 es=0/5
[2026-05-18 05:38:51] [representation][ae_alt_depth][cand_000_d1_w1] epoch=147 architecture=[1] train_loss=0.995034 val_loss=0.997511 best=0.997511 es=0/5
