[2025-12-15 20:18:27] Initialized ContinuousLogger for adp_resnet (Mode: width_only)
[2025-12-15 20:18:27] Logs: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_log.txt
[2025-12-15 20:18:27] CSV: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_stats.csv
[2025-12-15 20:18:27] [INITIAL TRAINING]
[2025-12-15 21:49:36]   Epoch 064/10000000000000000000 | train=1.0713 | val=1.0275 | best=1.0275 | ES=0/10
[2025-12-15 21:50:31]   Epoch 065/10000000000000000000 | train=1.0660 | val=1.0224 | best=1.0224 | ES=0/10
[2025-12-15 21:51:22]   Epoch 066/10000000000000000000 | train=1.0680 | val=1.0205 | best=1.0205 | ES=0/10
[2025-12-15 21:52:15]   Epoch 067/10000000000000000000 | train=1.0644 | val=1.0442 | best=1.0205 | ES=1/10
[2025-12-15 21:53:08]   Epoch 068/10000000000000000000 | train=1.0682 | val=1.0284 | best=1.0205 | ES=2/10
[2025-12-15 21:53:59]   Epoch 069/10000000000000000000 | train=1.0624 | val=1.0388 | best=1.0205 | ES=3/10
[2025-12-15 21:54:51]   Epoch 070/10000000000000000000 | train=1.0608 | val=1.0223 | best=1.0205 | ES=4/10
[2025-12-15 21:55:41]   Epoch 071/10000000000000000000 | train=1.0586 | val=1.0222 | best=1.0205 | ES=5/10
[2025-12-15 21:56:34]   Epoch 072/10000000000000000000 | train=1.0561 | val=1.0276 | best=1.0205 | ES=6/10
[2025-12-15 21:57:24]   Epoch 073/10000000000000000000 | train=1.0619 | val=1.0130 | best=1.0130 | ES=0/10
[2025-12-15 21:58:15]   Epoch 074/10000000000000000000 | train=1.0567 | val=1.0100 | best=1.0100 | ES=0/10
[2025-12-15 21:59:05]   Epoch 075/10000000000000000000 | train=1.0516 | val=1.0647 | best=1.0100 | ES=1/10
[2025-12-15 21:59:55]   Epoch 076/10000000000000000000 | train=1.0490 | val=1.0253 | best=1.0100 | ES=2/10
