[2026-05-20 14:21:19] Initialized ContinuousLogger for autoencoding_ae_depth_to_width (Mode: ae_depth_to_width)
[2026-05-20 14:21:19] Logs: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_log.txt
[2026-05-20 14:21:19] CSV: MLPS/tabular/shared/dae_dnn/results/goliath_w2d_staged_current/autoencoding/ae_depth_to_width/cand_000_d1_w1/training_stats.csv
[2026-05-20 14:21:19] [CANDIDATE] task=autoencoding phase=ae_depth_to_width index=0 search_phase=depth architecture=[1]
[2026-05-20 14:26:49] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=121 architecture=[1] train_loss=0.959444 val_loss=0.967455 best=0.967455 es=0/5
[2026-05-20 14:26:52] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=122 architecture=[1] train_loss=0.958793 val_loss=0.966813 best=0.966813 es=0/5
[2026-05-20 14:26:54] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=123 architecture=[1] train_loss=0.958149 val_loss=0.966178 best=0.966178 es=0/5
[2026-05-20 14:26:57] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=124 architecture=[1] train_loss=0.957511 val_loss=0.965552 best=0.965552 es=0/5
[2026-05-20 14:27:00] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=125 architecture=[1] train_loss=0.956883 val_loss=0.964933 best=0.964933 es=0/5
[2026-05-20 14:27:02] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=126 architecture=[1] train_loss=0.956265 val_loss=0.964326 best=0.964326 es=0/5
[2026-05-20 14:27:05] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=127 architecture=[1] train_loss=0.955654 val_loss=0.963726 best=0.963726 es=0/5
[2026-05-20 14:27:08] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=128 architecture=[1] train_loss=0.955060 val_loss=0.963140 best=0.963140 es=0/5
[2026-05-20 14:27:11] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=129 architecture=[1] train_loss=0.954475 val_loss=0.962569 best=0.962569 es=0/5
[2026-05-20 14:27:13] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=130 architecture=[1] train_loss=0.953906 val_loss=0.962012 best=0.962012 es=0/5
[2026-05-20 14:27:16] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=131 architecture=[1] train_loss=0.953351 val_loss=0.961469 best=0.961469 es=0/5
[2026-05-20 14:27:19] [autoencoding][ae_depth_to_width][cand_000_d1_w1] epoch=132 architecture=[1] train_loss=0.952812 val_loss=0.960944 best=0.960944 es=0/5
