,Model Name,Case Name,Time Taken,Total_Neurons,Train Samples,Test Samples,Mean MSE,Mean Gap Objective %,Max_Max Real Power Residual,Max_Mean Real Power Residual,Mean_Max Real Power Residual,Mean_Mean Real Power Residual ,Max_Max Reactive Power Residual,Max_Mean Reactive Power Residual,Mean_Max Reactive Power Residual,Mean_Mean Reactive Power Residual ,Max_Max Inequality PG,Max_Mean Inequality PG,Mean_Max Inequality PG,Mean_Mean Inequality PG,Max_Max Inequality QG,Max_Mean Inequality QG,Mean_Max Inequality QG,Mean_Mean Inequality QG,Max_Max Inequality VM,Max_Mean Inequality VM,Mean_Max Inequality VM,Mean_Mean Inequality VM
146,STL,pglib_opf_case14_ieee,4.66s,224,1500,1500,0.0005594463436864,2.2037315368652344,0.3622979521751404,0.122702307999134,0.1908622682094574,0.0596305355429649,0.3622979521751404,0.0829900056123733,0.1908622682094574,0.0394041314721107,0.0102414041757583,0.004929332062602,0.0038586652372032,0.0017264450434595,0.0190127491950988,0.0038025497924536,0.0024718600325286,0.000494371925015,0.0744565725326538,0.0416296385228633,0.0128137627616524,0.0046418053098022
147,STL,pglib_opf_case14_ieee,10.44s,448,1500,1500,0.000169250080944,1.4967902898788452,0.3197477459907532,0.113153651356697,0.1758367866277694,0.0532120168209075,0.3197477459907532,0.1126087307929992,0.1758367866277694,0.046780452132225,0.0046532228589057,0.0019116675248369,0.0017238354776054,0.0007220109109766,0.0156566202640533,0.0036175176501274,0.0019289745250716,0.0004329009098,0.0365326404571533,0.0147273372858762,0.0049795508384704,0.0010554236359894
148,STL,pglib_opf_case14_ieee,16.92s,6,2000,1500,0.0005618499126285,2.9272942543029785,1.3668272495269775,0.4402182400226593,0.539477527141571,0.1299574375152588,1.3668272495269775,0.3007479012012481,0.539477527141571,0.0987994372844696,0.0246909856796264,0.0112727563828229,0.0080279232934117,0.003360332455486,0.0165651738643646,0.0033130347728729,0.0025247042067348,0.0005049408064223,0.0844581127166748,0.0378587171435356,0.0136987138539552,0.003505895845592
149,STL,pglib_opf_case14_ieee,11.56s,14,2000,1500,0.0004309684154577,2.5029540061950684,0.4682683944702148,0.3171606957912445,0.3262834846973419,0.0961419269442558,0.4682683944702148,0.1955275982618332,0.3262834846973419,0.0629496127367019,0.0109210610389709,0.0073548122309148,0.003759610466659,0.0022211268078535,0.0158595740795135,0.0031719147227704,0.0023708583321422,0.000474171625683,0.0653711557388305,0.0271846912801265,0.0103588588535785,0.0026208655908703
150,STL,pglib_opf_case14_ieee,14.75s,28,2000,1500,0.0001878982438938,1.7713090181350708,0.7375129461288452,0.1210339665412902,0.1652170419692993,0.0499500408768653,0.7375129461288452,0.2351302802562713,0.1652170419692993,0.0841681808233261,0.0039985626935958,0.0015782326227054,0.0010533099994063,0.000438406394096,0.0055736750364303,0.0013162583345547,0.0005430653109215,0.0001122395187849,0.0396894216537475,0.0084426831454038,0.0065208678133785,0.0009631947614252
151,STL,pglib_opf_case14_ieee,6.52s,56,2000,1500,0.0004766693164128,2.37264347076416,0.624550998210907,0.1526167541742324,0.1754166483879089,0.0570241995155811,0.624550998210907,0.1802167147397995,0.1754166483879089,0.065339908003807,0.0161050409078598,0.0055805929005146,0.0055572539567947,0.0020827373955398,0.0034469366073608,0.0006893873214721,0.0004263935843482,8.52787125040777e-05,0.0621097087860107,0.0345472171902656,0.010637798346579,0.0034379507414996
152,STL,pglib_opf_case14_ieee,5.70s,112,2000,1500,0.0005783687229268,2.2123372554779053,0.5003949999809265,0.1148476377129554,0.1690007597208023,0.0546996854245662,0.5003949999809265,0.130838081240654,0.1690007597208023,0.0749018639326095,0.0086226128041744,0.0034281653352081,0.0036622418556362,0.0014802091754972,0.010603904724121,0.0021207809913903,0.0014651175588369,0.0002930235350504,0.0726629495620727,0.0448512956500053,0.012165674008429,0.0050389375537633
153,STL,pglib_opf_case14_ieee,5.15s,224,2000,1500,0.0005634892149828,2.2136240005493164,0.4029646515846252,0.1287942826747894,0.2080101370811462,0.0626327693462371,0.4029646515846252,0.0833667442202568,0.2080101370811462,0.0404080599546432,0.0091737583279609,0.0039751408621668,0.0034226432908326,0.0014690014068037,0.0223129987716674,0.0044625997543334,0.0041959909722208,0.0008391981245949,0.0747205018997192,0.0421232506632804,0.0131431194022297,0.0047874767333269
154,STL,pglib_opf_case14_ieee,19.63s,448,2000,1500,0.0001570852182339,1.402511715888977,0.3449534177780151,0.0944665223360061,0.1472984105348587,0.0434824414551258,0.3449534177780151,0.0942973047494888,0.1472984105348587,0.0423286035656929,0.0049307285808026,0.0019559783395379,0.002070942427963,0.0007259473786689,0.0143883135169744,0.0029689013026654,0.0020732355769723,0.0004195792716927,0.0399894714355468,0.014266176149249,0.0055522844195365,0.0010868775425478
155,STL,pglib_opf_case14_ieee,16.58s,6,2500,1500,0.0004527987621258,2.7816154956817627,2.2007739543914795,0.4082365334033966,0.3612152934074402,0.1292733997106552,2.2007739543914795,0.4590443968772888,0.3612152934074402,0.1513435840606689,0.0156717300415039,0.0059241550043225,0.0051893228664994,0.0018020333955064,0.0228990912437438,0.004579818341881,0.003822757396847,0.0007645514560863,0.0462315082550048,0.0214912984520196,0.006600028835237,0.0017346157692372
156,STL,pglib_opf_case14_ieee,10.38s,14,2500,1500,0.000430255633546,2.503279685974121,0.4732875227928161,0.3136143982410431,0.3263205587863922,0.0960520803928375,0.4732875227928161,0.1955678761005401,0.3263205587863922,0.0626812204718589,0.0119116902351379,0.0077339992858469,0.0037782164290547,0.0022447453811764,0.0160744190216064,0.0032148838508874,0.0024639654438942,0.0004927931004203,0.0657683610916137,0.0274096559733152,0.0105450004339218,0.0026787868700921
157,STL,pglib_opf_case14_ieee,7.38s,28,2500,1500,0.0005143005400896,2.276387929916382,0.7393412590026855,0.2458997517824173,0.2036594599485397,0.0717648416757583,0.7393412590026855,0.2410218864679336,0.2036594599485397,0.0769275575876236,0.0228950232267379,0.0066047003492712,0.0080251460894942,0.0021087855566293,0.0057626664638519,0.0011525333393365,0.0007298485725186,0.0001459697232348,0.0812900066375732,0.0414991714060306,0.0134262964129447,0.0042101037688553
158,STL,pglib_opf_case14_ieee,6.27s,56,2500,1500,0.0004757333372253,2.3662171363830566,0.6992859244346619,0.1516786813735962,0.1753022819757461,0.05659831315279,0.6992859244346619,0.1920149028301239,0.1753022819757461,0.0647636204957962,0.0159993842244148,0.0055518401786684,0.0055522443726658,0.0020711943507194,0.0035911202430725,0.0007182240369729,0.0004766205966006,9.532411786494777e-05,0.0614035129547119,0.0346647426486015,0.0103937769308686,0.0034552996512502
159,STL,pglib_opf_case14_ieee,5.38s,112,2500,1500,0.0005590596119873,2.939453363418579,0.5679614543914795,0.1373707801103592,0.2221417874097824,0.0650596097111702,0.5679614543914795,0.1415944844484329,0.2221417874097824,0.0519051887094974,0.0088115260004997,0.0028823800384998,0.0026926361024379,0.0010506646940484,0.0123891234397888,0.0024778246879577,0.0020925535354763,0.0004185107245575,0.0732522010803222,0.0375392846763134,0.0136477230116724,0.0039158943109214
