[2026-05-16 17:32:52] Initialized ContinuousLogger for representation_random (Mode: random)
[2026-05-16 17:37:34] [representation][random][cand_008_d3_w2] epoch=115 train_loss=0.899353 val_loss=0.907494 best=0.907494 es=0/5
[2026-05-16 17:37:36] [representation][random][cand_008_d3_w2] epoch=116 train_loss=0.899178 val_loss=0.907329 best=0.907329 es=0/5
[2026-05-16 17:37:39] [representation][random][cand_008_d3_w2] epoch=117 train_loss=0.899024 val_loss=0.907188 best=0.907188 es=0/5
[2026-05-16 17:37:41] [representation][random][cand_008_d3_w2] epoch=118 train_loss=0.898859 val_loss=0.907043 best=0.907043 es=0/5
[2026-05-16 17:37:44] [representation][random][cand_008_d3_w2] epoch=119 train_loss=0.898696 val_loss=0.906821 best=0.906821 es=0/5
[2026-05-16 17:37:46] [representation][random][cand_008_d3_w2] epoch=120 train_loss=0.898509 val_loss=0.906675 best=0.906675 es=0/5
[2026-05-16 17:37:49] [representation][random][cand_008_d3_w2] epoch=121 train_loss=0.898356 val_loss=0.906531 best=0.906531 es=0/5
[2026-05-16 17:37:51] [representation][random][cand_008_d3_w2] epoch=122 train_loss=0.898194 val_loss=0.906389 best=0.906389 es=0/5
[2026-05-16 17:37:53] [representation][random][cand_008_d3_w2] epoch=123 train_loss=0.898051 val_loss=0.906251 best=0.906251 es=0/5
[2026-05-16 17:37:56] [representation][random][cand_008_d3_w2] epoch=124 train_loss=0.897929 val_loss=0.906138 best=0.906138 es=0/5
[2026-05-16 17:37:58] [representation][random][cand_008_d3_w2] epoch=125 train_loss=0.897810 val_loss=0.906028 best=0.906028 es=0/5
[2026-05-16 17:38:01] [representation][random][cand_008_d3_w2] epoch=126 train_loss=0.897690 val_loss=0.905924 best=0.905924 es=0/5
[2026-05-16 17:38:03] [representation][random][cand_008_d3_w2] epoch=127 train_loss=0.897602 val_loss=0.905817 best=0.905817 es=0/5
[2026-05-16 17:38:06] [representation][random][cand_008_d3_w2] epoch=128 train_loss=0.897463 val_loss=0.905704 best=0.905704 es=0/5
[2026-05-16 17:38:08] [representation][random][cand_008_d3_w2] epoch=129 train_loss=0.897355 val_loss=0.905607 best=0.905704 es=1/5
[2026-05-16 17:38:11] [representation][random][cand_008_d3_w2] epoch=130 train_loss=0.897265 val_loss=0.905525 best=0.905525 es=0/5
[2026-05-16 17:38:13] [representation][random][cand_008_d3_w2] epoch=131 train_loss=0.897199 val_loss=0.905437 best=0.905525 es=1/5
[2026-05-16 17:38:16] [representation][random][cand_008_d3_w2] epoch=132 train_loss=0.897117 val_loss=0.905372 best=0.905372 es=0/5
[2026-05-16 17:38:18] [representation][random][cand_008_d3_w2] epoch=133 train_loss=0.897044 val_loss=0.905300 best=0.905372 es=1/5
[2026-05-16 17:38:21] [representation][random][cand_008_d3_w2] epoch=134 train_loss=0.896965 val_loss=0.905235 best=0.905235 es=0/5
[2026-05-16 17:38:23] [representation][random][cand_008_d3_w2] epoch=135 train_loss=0.896920 val_loss=0.905195 best=0.905235 es=1/5
[2026-05-16 17:38:26] [representation][random][cand_008_d3_w2] epoch=136 train_loss=0.896865 val_loss=0.905135 best=0.905235 es=2/5
[2026-05-16 17:38:28] [representation][random][cand_008_d3_w2] epoch=137 train_loss=0.896791 val_loss=0.905087 best=0.905087 es=0/5
[2026-05-16 17:38:30] [representation][random][cand_008_d3_w2] epoch=138 train_loss=0.896740 val_loss=0.905030 best=0.905087 es=1/5
[2026-05-16 17:38:33] [representation][random][cand_008_d3_w2] epoch=139 train_loss=0.896703 val_loss=0.904989 best=0.905087 es=2/5
[2026-05-16 17:38:35] [representation][random][cand_008_d3_w2] epoch=140 train_loss=0.896664 val_loss=0.904947 best=0.904947 es=0/5
[2026-05-16 17:38:38] [representation][random][cand_008_d3_w2] epoch=141 train_loss=0.896611 val_loss=0.904899 best=0.904947 es=1/5
[2026-05-16 17:38:40] [representation][random][cand_008_d3_w2] epoch=142 train_loss=0.896571 val_loss=0.904863 best=0.904947 es=2/5
[2026-05-16 17:38:43] [representation][random][cand_008_d3_w2] epoch=143 train_loss=0.896532 val_loss=0.904827 best=0.904827 es=0/5
[2026-05-16 17:38:45] [representation][random][cand_008_d3_w2] epoch=144 train_loss=0.896504 val_loss=0.904802 best=0.904827 es=1/5
[2026-05-16 17:38:47] [representation][random][cand_008_d3_w2] epoch=145 train_loss=0.896472 val_loss=0.904771 best=0.904827 es=2/5
